epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2248.4,1.02485,0.60136,1.03699,0.89732,0.90821,0.95448,0.69564,1.01079,0.54899,1.03156,0.00076325,0.00076325,0.00076325
61,2284.97,1.02944,0.60554,1.03883,0.92485,0.87016,0.95205,0.69263,1.01339,0.5535,1.03242,0.000755,0.000755,0.000755
62,2321.61,1.03406,0.61269,1.038,0.91475,0.89566,0.95282,0.69339,1.01277,0.54266,1.02973,0.00074675,0.00074675,0.00074675
63,2357.51,1.01476,0.59583,1.02977,0.89361,0.88794,0.94225,0.6883,1.01011,0.55053,1.03425,0.0007385,0.0007385,0.0007385
64,2392.86,1.0209,0.60214,1.03109,0.90956,0.889,0.94721,0.6927,1.00527,0.5481,1.02738,0.00073025,0.00073025,0.00073025
65,36.9862,1.02753,0.60338,1.04263,0.91968,0.87921,0.9519,0.69525,1.01934,0.55352,1.04158,0.000722,0.000722,0.000722
66,72.0614,1.02198,0.60175,1.04243,0.90386,0.90763,0.95866,0.70198,1.01036,0.53673,1.03901,0.00071375,0.00071375,0.00071375
67,107.565,1.02745,0.60177,1.04917,0.90082,0.89148,0.95506,0.70077,1.00617,0.54213,1.03495,0.0007055,0.0007055,0.0007055
68,142.431,1.01269,0.58874,1.03443,0.91073,0.88532,0.95405,0.69974,1.00525,0.53821,1.03589,0.00069725,0.00069725,0.00069725
69,175.892,1.01332,0.58261,1.03826,0.90621,0.89183,0.95507,0.69904,1.01241,0.54105,1.03495,0.000689,0.000689,0.000689
70,209.663,1.00775,0.579,1.03445,0.92748,0.8768,0.9536,0.69705,1.00997,0.53937,1.03469,0.00068075,0.00068075,0.00068075
71,245.198,1.00942,0.5831,1.03737,0.91125,0.89819,0.95255,0.69847,0.99843,0.54022,1.03251,0.0006725,0.0006725,0.0006725
72,280.726,1.00949,0.5803,1.03236,0.92866,0.88281,0.953,0.69985,1.00658,0.53487,1.0342,0.00066425,0.00066425,0.00066425
73,316.067,0.99262,0.57997,1.0227,0.89906,0.90004,0.95108,0.697,0.99825,0.5441,1.03223,0.000656,0.000656,0.000656
74,349.807,0.99838,0.58067,1.02731,0.91535,0.89127,0.95167,0.70018,1.00539,0.53823,1.03298,0.00064775,0.00064775,0.00064775
75,386.076,0.99892,0.57711,1.02937,0.92833,0.88037,0.95632,0.70014,1.00383,0.53383,1.03169,0.0006395,0.0006395,0.0006395
76,420.118,0.9907,0.57007,1.02759,0.93014,0.88634,0.95709,0.7046,0.99045,0.52579,1.02418,0.00063125,0.00063125,0.00063125
77,455.652,0.98191,0.56801,1.0186,0.92732,0.8744,0.9549,0.7023,0.99744,0.53495,1.03043,0.000623,0.000623,0.000623
78,489.187,0.97757,0.55718,1.02343,0.92376,0.88917,0.95914,0.70697,0.98701,0.51723,1.02759,0.00061475,0.00061475,0.00061475
79,524.565,0.98818,0.56881,1.02662,0.92841,0.85731,0.954,0.70046,1.00218,0.53382,1.03146,0.0006065,0.0006065,0.0006065
80,559.37,0.9732,0.56058,1.02455,0.92777,0.88908,0.95665,0.70535,0.99078,0.5249,1.02689,0.00059825,0.00059825,0.00059825
81,593.496,0.98161,0.55855,1.015,0.93268,0.88669,0.95988,0.70632,0.99729,0.52128,1.02885,0.00059,0.00059,0.00059
82,629.558,0.98113,0.56136,1.02005,0.93019,0.89243,0.95961,0.71196,0.99112,0.52024,1.02692,0.00058175,0.00058175,0.00058175
83,664.989,0.97089,0.55064,1.01464,0.91531,0.89083,0.95938,0.70498,0.9893,0.5197,1.02419,0.0005735,0.0005735,0.0005735
84,701.925,0.96506,0.5423,1.01393,0.91163,0.9111,0.9645,0.71182,0.99267,0.51206,1.02689,0.00056525,0.00056525,0.00056525
85,736.441,0.96135,0.54379,1.01341,0.92391,0.90196,0.96438,0.71123,0.99024,0.51111,1.02775,0.000557,0.000557,0.000557
86,771.603,0.97045,0.54657,1.01165,0.91661,0.89644,0.95831,0.70892,0.98935,0.52006,1.027,0.00054875,0.00054875,0.00054875
87,806.916,0.96968,0.54651,1.01834,0.91949,0.90209,0.96107,0.70936,0.99207,0.51175,1.0267,0.0005405,0.0005405,0.0005405
88,842.339,0.96134,0.5412,1.00673,0.92151,0.89855,0.95964,0.71144,0.98626,0.51165,1.02146,0.00053225,0.00053225,0.00053225
89,876.646,0.95624,0.54318,1.00747,0.91501,0.91624,0.96328,0.71352,0.99127,0.50707,1.02624,0.000524,0.000524,0.000524
90,912.042,0.96083,0.54982,1.01323,0.91401,0.89094,0.95548,0.70836,0.98804,0.51373,1.02499,0.00051575,0.00051575,0.00051575
91,946.611,0.95492,0.54631,1.01282,0.91848,0.91359,0.96327,0.71191,0.98552,0.50371,1.02438,0.0005075,0.0005075,0.0005075
92,980.641,0.95309,0.53309,1.00485,0.93168,0.9161,0.96684,0.71533,0.98226,0.4987,1.02059,0.00049925,0.00049925,0.00049925
93,1015.74,0.95544,0.53224,1.00477,0.93585,0.90773,0.96466,0.71222,0.98822,0.5028,1.02432,0.000491,0.000491,0.000491
94,1049.47,0.95815,0.53852,1.00867,0.92765,0.90483,0.96131,0.71121,0.97831,0.50757,1.01792,0.00048275,0.00048275,0.00048275
95,1086.31,0.94077,0.53036,1.00224,0.93711,0.90195,0.96389,0.71861,0.97935,0.50112,1.02004,0.0004745,0.0004745,0.0004745
96,1120.55,0.95026,0.53055,0.99917,0.93503,0.8962,0.96596,0.71962,0.96887,0.49891,1.01624,0.00046625,0.00046625,0.00046625
97,1155.84,0.9346,0.5226,0.99764,0.93074,0.9093,0.96281,0.7151,0.98169,0.49673,1.02543,0.000458,0.000458,0.000458
98,1189.54,0.94859,0.53208,1.00422,0.91652,0.92052,0.96524,0.71702,0.97813,0.49776,1.01858,0.00044975,0.00044975,0.00044975
99,1223.47,0.93633,0.52382,1.00094,0.92416,0.90987,0.96273,0.71798,0.97153,0.50072,1.01583,0.0004415,0.0004415,0.0004415
100,1258.34,0.93236,0.52369,0.99832,0.92658,0.90766,0.9632,0.71837,0.98119,0.50588,1.02353,0.00043325,0.00043325,0.00043325
101,1291.56,0.93415,0.52018,1.00058,0.94533,0.89233,0.96472,0.71954,0.97787,0.49491,1.01998,0.000425,0.000425,0.000425
102,1328.32,0.92832,0.51327,0.98763,0.92757,0.91133,0.96524,0.71869,0.97773,0.49494,1.01695,0.00041675,0.00041675,0.00041675
103,1362.3,0.93379,0.51721,0.99404,0.91465,0.92036,0.96551,0.72244,0.97652,0.49437,1.01886,0.0004085,0.0004085,0.0004085
104,1397.56,0.92956,0.51728,0.99473,0.93385,0.90322,0.96569,0.71778,0.97927,0.49205,1.01992,0.00040025,0.00040025,0.00040025
105,1431.41,0.92158,0.51608,0.99581,0.91673,0.91416,0.96434,0.71906,0.97408,0.49761,1.01897,0.000392,0.000392,0.000392
106,1465.65,0.91849,0.51246,0.99366,0.93477,0.91687,0.96818,0.72316,0.97552,0.49108,1.01825,0.00038375,0.00038375,0.00038375
107,1500.3,0.92751,0.51439,0.99018,0.92051,0.91706,0.96614,0.72375,0.97019,0.49248,1.01754,0.0003755,0.0003755,0.0003755
108,1534.59,0.92338,0.51079,0.9916,0.92402,0.91933,0.96841,0.72454,0.97059,0.49108,1.01402,0.00036725,0.00036725,0.00036725
109,1569.76,0.91387,0.50514,0.98992,0.92347,0.91889,0.96715,0.72054,0.9777,0.49096,1.0176,0.000359,0.000359,0.000359
110,1605.34,0.91048,0.50086,0.98476,0.92187,0.92357,0.96649,0.72321,0.97114,0.48747,1.01475,0.00035075,0.00035075,0.00035075
111,1640.73,0.91521,0.50173,0.98624,0.9379,0.90663,0.96783,0.72374,0.96787,0.48371,1.01294,0.0003425,0.0003425,0.0003425
112,1674.55,0.91117,0.50618,0.98535,0.92907,0.91402,0.96549,0.72223,0.97177,0.48639,1.01578,0.00033425,0.00033425,0.00033425
113,1710.09,0.90293,0.49622,0.98601,0.91806,0.9166,0.96387,0.71827,0.97558,0.48511,1.01655,0.000326,0.000326,0.000326
114,1744.38,0.9103,0.49872,0.99093,0.928,0.91041,0.96646,0.72642,0.95953,0.48488,1.01012,0.00031775,0.00031775,0.00031775
115,1779.91,0.89598,0.49475,0.98114,0.93126,0.90644,0.96505,0.72427,0.96751,0.48836,1.01353,0.0003095,0.0003095,0.0003095
116,1814.54,0.90417,0.49459,0.98237,0.92597,0.92297,0.96887,0.72501,0.96774,0.48507,1.01463,0.00030125,0.00030125,0.00030125
117,1848.66,0.89518,0.49167,0.98096,0.94023,0.91541,0.96916,0.72592,0.96374,0.48124,1.0134,0.000293,0.000293,0.000293
118,1885.28,0.9072,0.49985,0.98422,0.93384,0.9176,0.9672,0.72315,0.96936,0.48274,1.01632,0.00028475,0.00028475,0.00028475
119,1919.37,0.89391,0.49189,0.98624,0.93296,0.91246,0.96767,0.72586,0.96715,0.48198,1.01441,0.0002765,0.0002765,0.0002765
120,1954.71,0.8966,0.49254,0.97694,0.92251,0.92418,0.96619,0.72168,0.96748,0.47902,1.01541,0.00026825,0.00026825,0.00026825
121,1988.4,0.8807,0.48662,0.97797,0.93076,0.91196,0.96737,0.7264,0.96495,0.48092,1.01224,0.00026,0.00026,0.00026
122,2023.08,0.89334,0.49201,0.98136,0.93255,0.90929,0.96978,0.72848,0.96494,0.47572,1.01303,0.00025175,0.00025175,0.00025175
123,2058.08,0.89467,0.48791,0.97862,0.93604,0.91236,0.96893,0.7315,0.96473,0.47938,1.01073,0.0002435,0.0002435,0.0002435
124,2092.27,0.87921,0.48273,0.97375,0.93352,0.91311,0.9681,0.72744,0.96752,0.47955,1.01213,0.00023525,0.00023525,0.00023525
125,2129.48,0.89135,0.48561,0.97958,0.93209,0.9237,0.96907,0.73195,0.96434,0.47747,1.01144,0.000227,0.000227,0.000227
126,2163.58,0.8869,0.48524,0.97807,0.93716,0.92281,0.96862,0.72974,0.96179,0.47541,1.01179,0.00021875,0.00021875,0.00021875
127,2198.95,0.87609,0.47476,0.97177,0.92925,0.92484,0.96779,0.72841,0.96787,0.47704,1.01379,0.0002105,0.0002105,0.0002105
128,2232.79,0.88461,0.48216,0.97087,0.92065,0.92504,0.96915,0.72897,0.9603,0.47806,1.0105,0.00020225,0.00020225,0.00020225
129,2268.59,0.89907,0.49079,0.98031,0.92232,0.9258,0.96815,0.72697,0.96652,0.47811,1.01271,0.000194,0.000194,0.000194
130,2303,0.90165,0.49231,0.98433,0.93939,0.92139,0.97126,0.72934,0.96169,0.47609,1.01044,0.00018575,0.00018575,0.00018575
131,2338.64,0.89761,0.49118,0.98089,0.9393,0.91984,0.97056,0.72752,0.9627,0.47198,1.01267,0.0001775,0.0001775,0.0001775
